Номер дефекта;Название;Критичность;Окружение;Описание;Шаги;Фактический результат;Ожидаемый результат
BUG-001;Полный отказ функции создания и сохранения новостей;Блокирующая (Blocker);Эмулятор Pixel 4 XL, Android 10.0, приложение v1.0.0;Выполнен вход под учетной записью login2. Открыт экран Creating News.;1. Заполнить все поля формы создания новости валидными данными. 2. Нажать кнопку SAVE.;Экран закрывается, происходит возврат в Control panel, но новая запись полностью пропадает и не добавляется в список новостей.;Запись успешно сохраняется в базе данных бэкенда и отображается в общем списке Control panel
BUG-002;Поломка формата года и перепутанная хронология в датах новостей;Высокая (Critical);Эмулятор Pixel 4 XL, Android 10.0, приложение v1.0.0;Выполнен вход под учетной записью login2. Открыт экран Control panel.;1. Посмотреть на строки Publication date и Creation date в карточках Тестовая новость и Т12323132. 2. Сравнить годы и логику дат.;Бэкенд выдает пятизначные года. В дате публикации стоит 22.08.57994 год, а в дате создания — 14.09.58446 год. Хронология нарушена: новость опубликована на 450 лет раньше создания.;Все даты отображаются в нормальном формате текущего времени (2026 год). Дата создания новости хронологически идет раньше даты публикации
BUG-003;Отображение даты создания публикации из будущего времени;Средняя (Major);Эмулятор Pixel 4 XL, Android 10.0, приложение v1.0.0;Выполнен вход под учетной записью login2. Открыт экран Control panel.;1. Изучить карточку публикации Объявление в списке. 2. Сравнить дату создания с текущим временем на устройстве.;В строке Creation date отображается дата 17.08 (август), что значительно превышает текущее системное время на устройстве (июнь/июль).;Система валидирует данные на сервере. Дата создания не может быть больше (позже) текущего реального времени.
BUG-004;Вывод технического ID базы данных в заголовок вместо номера карточки;Средняя (Major);Эмулятор Pixel 4 XL, Android 10.0, приложение v1.0.0;Выполнен вход под учетной записью login2. Открыт экран Control panel.;1. Проскроллить список публикаций вниз до конца.;Одна из карточек отображается с некорректным длинным системным именем: Издание № 4821782334682382.;Все публикации имеют понятную человеческую нумерацию по порядку (например, Издание № 103), соответствующую макету
BUG-005;Некорректный текст в диалоговом окне при нажатии кнопки CANCEL;Средняя (Major);Эмулятор Pixel 4 XL, Android 10.0, приложение v1.0.0;Выполнен вход под учетной записью login2. Открыт экран Creating News.;1. Нажать на кнопку CANCEL внизу формы создания новости.;Вылезает системное модальное окно с текстом: The changes won't be saved, do you really want to log out?. Приложение путает отмену формы с выходом из аккаунта.;Модальное окно предупреждает именно об отмене создания новости (например, do you really want to cancel creating news?)
